id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
186105,HAI-2004-1-441-30,2004,true,Clear,1,381,381,Haiti: Government,817,817,Government of Haiti - OP Lavalas,6,6,Government of Haiti,766,766,OP Lavalas,-1,"Latin American Weekly Report, 5 October 2004",,,,Authorities,1,Port-au-Prince city,La Saline,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,2,2,2004-09-29 00:00:00.000,2004-10-02 00:00:00.000,3,5,0,4,12,12,12,41,
186093,HAI-2004-1-441-29,2004,true,Clear,1,381,381,Haiti: Government,817,817,Government of Haiti - OP Lavalas,6,6,Government of Haiti,766,766,OP Lavalas,-1,"Jane's Intelligence Review and Latin American Weekly Report 12 October 2004. Agence France-Presse (AFP) 13/10, Agence France-Presse (AFP) 27/10",,,,Anna Gilmour,1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,2,4,2004-09-30 00:00:00.000,2004-10-26 00:00:00.000,10,0,0,20,30,60,30,41,
186078,HAI-2004-1-441-28,2004,true,Clear,1,381,381,Haiti: Government,817,817,Government of Haiti - OP Lavalas,6,6,Government of Haiti,766,766,OP Lavalas,-1,Reuters 27/10 2004,,,,Residents of Port-au-Prince slum,1,Port-au-Prince city,Port-au-Prince slum,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,2004-10-27 00:00:00.000,2004-10-27 00:00:00.000,0,13,0,0,13,97,13,41,
186079,HAI-2004-1-441-27,2004,true,Clear,1,381,381,Haiti: Government,817,817,Government of Haiti - OP Lavalas,6,6,Government of Haiti,766,766,OP Lavalas,-1,Reuters 19/11 2004,,,,Eyewitnesses,1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,2004-11-19 00:00:00.000,2004-11-19 00:00:00.000,0,6,0,0,6,12,6,41,
193512,HAI-1990-3-41-1,1990,false,Clear,3,6,444,Government of Haiti - Civilians,6,911,Government of Haiti - Civilians,6,6,Government of Haiti,9999,1,Civilians,1,"""Reuters News,1990-06-12,COUNCIL OF STATE CONDEMNS ARMY'S BRUTALITY TOWARDS PEASANTS.""",Reuters News,1990-06-12,COUNCIL OF STATE CONDEMNS ARMY'S BRUTALITY TOWARDS PEASANTS.,eyewitnesses,1,Perodin village,"Perodin village, central Haiti",L'Artibonite department,Dessalines arrondissement,19.100000,-72.300000,POINT (-72.3 19.1),157176,Haiti,HTI,41,Americas,1,1,1990-05-29 00:00:00.000,1990-05-29 00:00:00.000,0,0,2,0,2,2,2,41,
193513,HAI-1990-3-41-2,1990,false,Clear,3,6,444,Government of Haiti - Civilians,6,911,Government of Haiti - Civilians,6,6,Government of Haiti,9999,1,Civilians,1,"""Reuters News,1990-12-17,MILITARY FIRE AT ARISTIDE FOLLOWERS, SHOOT PREGNANT WOMAN.""",Reuters News,1990-12-17,"MILITARY FIRE AT ARISTIDE FOLLOWERS, SHOOT PREGNANT WOMAN.",witnesses,1,Port-au-Prince city,"in front of St. Jean Bosco church, church where Aristide preached, in Port-au-Prince",Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,1990-12-17 00:00:00.000,1990-12-17 00:00:00.000,0,0,0,0,0,1,0,41,
193517,HAI-1991-3-41-2,1991,true,Clear,3,6,444,Government of Haiti - Civilians,6,911,Government of Haiti - Civilians,6,6,Government of Haiti,9999,1,Civilians,2,"""Reuters News,1991-10-01,STREETS, ONCE SCENE OF CELEBRATIONS, NOW FILLED WITH DEATH."";""Human Rights Watch,1992-01-01,HUMAN RIGHTS WATCH WORLD REPORT 1992""",Reuters News;Human Rights Watch,1991-10-01;1992-01-01,"STREETS, ONCE SCENE OF CELEBRATIONS, NOW FILLED WITH DEATH.;HUMAN RIGHTS WATCH WORLD REPORT 1992","diplomats and residents of the capital (Reuters), Platform of Haitian Organizations for the Defense of Human Rights, a coalition of nine human rights groups monitoring abuses in post-coup Haiti (HRW).",1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,2,2,1991-09-30 00:00:00.000,1991-10-01 00:00:00.000,0,0,2,0,2,218,2,41,
193522,HAI-1991-3-41-7,1991,true,Clear,3,6,444,Government of Haiti - Civilians,6,911,Government of Haiti - Civilians,6,6,Government of Haiti,9999,1,Civilians,1,"""Amnesty International,1991-10-01,Human Rights Violations in the Aftermath of the Coup d'Etat, October 1991""",Amnesty International,1991-10-01,"Human Rights Violations in the Aftermath of the Coup d'Etat, October 1991",Amnesty,1,Gonaives town,Gonaïves,L'Artibonite department,Gonayiv arrondissement,19.447490,-72.689030,POINT (-72.68903 19.44749),157175,Haiti,HTI,41,Americas,1,3,1991-09-30 00:00:00.000,1991-10-06 00:00:00.000,0,0,6,0,6,6,6,41,
193521,HAI-1991-3-41-6,1991,true,Clear,3,6,444,Government of Haiti - Civilians,6,911,Government of Haiti - Civilians,6,6,Government of Haiti,9999,1,Civilians,1,"""Amnesty International,1991-10-01,Human Rights Violations in the Aftermath of the Coup d'Etat, October 1991""",Amnesty International,1991-10-01,"Human Rights Violations in the Aftermath of the Coup d'Etat, October 1991",Amnesty,1,Port-au-Prince city,Lafanmi Selavi orphanage in Port-au-Prince,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,1991-10-01 00:00:00.000,1991-10-01 00:00:00.000,0,0,1,0,1,1,1,41,
193520,HAI-1991-3-41-5,1991,true,Clear,3,6,444,Government of Haiti - Civilians,6,911,Government of Haiti - Civilians,6,6,Government of Haiti,9999,1,Civilians,3,"""Amnesty International,1991-10-01,Human Rights Violations in the Aftermath of the Coup d'Etat, October 1991"";""Human Rights Watch,1992-01-01,HUMAN RIGHTS WATCH WORLD REPORT 1992"";""St. Louis Post-Dispatch,1991-10-04,HAITIAN ARMY IMPLICATED IN MASS KILLINGS 150 DEAD, HUNDREDS WOUNDED IN 3 DAYS OF ATTACKS BY SOLDIERS""",Amnesty International;Human Rights Watch;St. Louis Post-Dispatch,1991-10-01;1992-01-01;1991-10-04,"Human Rights Violations in the Aftermath of the Coup d'Etat, October 1991;HUMAN RIGHTS WATCH WORLD REPORT 1992;HAITIAN ARMY IMPLICATED IN MASS KILLINGS 150 DEAD, HUNDREDS WOUNDED IN 3 DAYS OF ATTACKS BY SOLDIERS","Radio Lumiere, HRW",1,Port-au-Prince city,Cite Soleil,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,1991-10-02 00:00:00.000,1991-10-02 00:00:00.000,0,0,30,0,30,30,30,41,
