id,year,conflict_dset_id,conflict_new_id,dyad_new_id,dyad_name,side_a,side_b,number_of_sources,source_office,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,event_clarity,date_prec,date_event,total_deaths_best_estimate
354745,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,"Cité Soleil, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-06-28 00:00:00.000,1
354751,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",1,Cité Soleil town,"Cité Soleil, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-01 00:00:00.000,3
354809,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,2,4,2020-07-01 00:00:00.000,39
354750,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,"Cité Soleil, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-02 00:00:00.000,2
354753,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",1,Cité Soleil town,"Cité Soleil, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-03 00:00:00.000,11
354755,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,"Cité Soleil, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-04 00:00:00.000,7
354760,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,"Cité Soleil, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-06 00:00:00.000,1
354761,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-07 00:00:00.000,2
354762,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-08 00:00:00.000,1
354763,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-10 00:00:00.000,1
354764,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,2,1,2020-07-11 00:00:00.000,4
354765,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-12 00:00:00.000,6
